CityID,City,Long,Lat
Abomey,Abomey,7.184970,1.997709
Allada,Allada,6.664266,2.159050
Aplahoue,Aplahoué,6.942274,1.673076
Athieme,Athiémé,6.591414,1.680887
Banikoara,Banikoara,11.300090,2.432849
Bassila,Bassila,9.016743,1.666553
Bembereke,Bembèrèkè,10.224762,2.669334
Bohicon,Bohicon,7.199979,2.065258
Boukoumbe,Boukoumbé,10.183371,1.100671
Come,Comé,6.400217,1.883576
Cotonou,Cotonou,6.366040,2.435060
Cove,Cové,7.218905,2.339208
DassaZoume,Dassa-Zoumé,7.785073,2.207222
Djougou,Djougou,9.699969,1.666109
GrandPopo,Grand-Popo,6.263427,1.739573
Kandi,Kandi,11.128788,2.936846
Kerou,Kérou,10.825086,2.108946
Ketou,Kétou,7.358295,2.607365
Kouande,Kouandé,10.331638,1.691787
Lokossa,Lokossa,6.633277,1.716871
Malanville,Malanville,11.866670,3.384497
Natitingou,Natitingou,10.296382,1.381338
Ndali,N'dali,9.860655,2.718129
Nikki,Nikki,9.933555,3.207922
Ouidah,Ouidah,6.366982,2.082006
Parakou,Parakou,9.350069,2.615004
Pobe,Pobé,6.983254,2.663712
PortoNovo,Porto-Novo,6.496890,2.607536
Sakete,Sakété,6.736170,2.658048
Savalou,Savalou,7.933329,1.966660
Save,Savé,8.033341,2.483561
Segbana,Ségbana,10.927729,3.694260
Tanguieta,Tanguiéta,10.616869,1.266861
Tchaourou,Tchaourou,8.883333,2.599833
AbomeyCalavi,Abomey-Calavi,6.449920,2.356718
Adjaouere,Adja-ouere,7.048130,2.603430
Adjarra,Adjarra,6.533431,2.665772
Adjohoun,Adjohoun,6.717964,2.472267
Agbangnizoun,Agbangnizoun,7.066652,1.966402
Avrankou,Avrankou,6.550000,2.666667
Bopa,Bopa,6.701638,1.946817
Cobly,Cobly,10.492222,0.999722
Copargo,Copargo,9.837500,1.548056
Dogbo,Dogbo,6.805220,1.788075
Houeyogbe,Houéyogbé,6.548300,1.822958
Ifangni,Ifangni,6.666667,2.716667
Klouekanmey,Klouékanmey,6.980278,1.842222
Kpomasse,Kpomassè,6.400000,1.966667
Materi,Materi,10.727801,0.995012
Ouake,Ouake,9.661702,1.384924
OuassaPehunco,Ouassa-Pehunco,10.227455,2.001921
SemePodji,Sèmè-Podji,6.366667,2.616667
ToriBossito,Tori-Bossito,6.503052,2.144630
Toukountouna,Toukountouna,10.495566,1.377765
Zagnanado,Zagnanado,7.266667,2.350000
Zogbodomey,Zogbodomey,7.083333,2.100000
Dangbo,Dangbo,6.579685,2.496643
Bonou,Bonou,6.888581,2.453384
Sinende,Sinendé,10.344663,2.380021
Karimama,Karimama,12.066642,3.183739
Gogounou,Gogounou,10.840192,2.840996
Toffo,Toffo,6.850000,2.083333
SoAva,Sô-Ava,6.466667,2.416667
Ze,Zè,6.783333,2.300000
Kalale,Kalalé,10.290071,3.382384
Perere,Pèrèrè,9.799462,2.993410
Bante,Bantè,8.416741,1.883104
Glazoue,Glazoué,7.972927,2.243958
Ouesse,Ouèssè,8.495824,2.423751
Djakotomey,Djakotomey,6.900000,1.716667
Lalo,Lalo,6.916667,1.883333
Toviklin,Toviklin,6.833333,1.816667
Aguegues,Aguégués,6.489151,2.557733
AkproMisserete,Akpro-Missérété,6.562403,2.587173
Djidja,Djidja,7.346314,1.936061
Ouinhi,Ouinhi,7.101237,2.460353
ZaKpota,Za-Kpota,7.230278,2.215278
